Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LogIn_Suite,Chrome 71.0.3578.98,,2019-03-14 11:02:49,2019-03-14 11:04:04,1m - 14.649s,FAILED
,,,,,,
Test Cases/LogIn_Case,Chrome 71.0.3578.98,,2019-03-14 11:02:49,2019-03-14 11:03:07,17.676s,PASSED
"openBrowser(""http://demoaut.katalon.com/"")",Chrome 71.0.3578.98,,2019-03-14 11:02:50,2019-03-14 11:02:57,6.685s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 71.0.3578.98,,2019-03-14 11:02:57,2019-03-14 11:02:58,0.711s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), UserName)",Chrome 71.0.3578.98,,2019-03-14 11:02:58,2019-03-14 11:02:58,0.240s,PASSED
sleep(2000),Chrome 71.0.3578.98,,2019-03-14 11:02:58,2019-03-14 11:03:00,2.002s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), Password)",Chrome 71.0.3578.98,,2019-03-14 11:03:00,2019-03-14 11:03:00,0.250s,PASSED
sleep(2000),Chrome 71.0.3578.98,,2019-03-14 11:03:00,2019-03-14 11:03:02,2.002s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 71.0.3578.98,,2019-03-14 11:03:02,2019-03-14 11:03:03,0.962s,PASSED
sleep(2000),Chrome 71.0.3578.98,,2019-03-14 11:03:03,2019-03-14 11:03:05,2.001s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""), 3)",Chrome 71.0.3578.98,,2019-03-14 11:03:05,2019-03-14 11:03:05,0.040s,PASSED
,,,,,,
Test Cases/LogIn_Case,Chrome 71.0.3578.98,,2019-03-14 11:03:07,2019-03-14 11:03:26,18.887s,FAILED
"openBrowser(""http://demoaut.katalon.com/"")",Chrome 71.0.3578.98,,2019-03-14 11:03:07,2019-03-14 11:03:12,5.333s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 71.0.3578.98,,2019-03-14 11:03:12,2019-03-14 11:03:13,0.796s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), UserName)",Chrome 71.0.3578.98,,2019-03-14 11:03:13,2019-03-14 11:03:13,0.230s,PASSED
sleep(2000),Chrome 71.0.3578.98,,2019-03-14 11:03:13,2019-03-14 11:03:15,2.001s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), Password)",Chrome 71.0.3578.98,,2019-03-14 11:03:15,2019-03-14 11:03:16,0.187s,PASSED
sleep(2000),Chrome 71.0.3578.98,,2019-03-14 11:03:16,2019-03-14 11:03:18,2.002s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 71.0.3578.98,,2019-03-14 11:03:18,2019-03-14 11:03:18,0.790s,PASSED
sleep(2000),Chrome 71.0.3578.98,,2019-03-14 11:03:18,2019-03-14 11:03:20,2.001s,PASSED
